year,centre_code,centre_name,ownership,address,postal_code,municipality_code,municipality,county,utm_x,utm_y,longitude,latitude,source_url
2025,43012186,Llar d'infants Nou Esquirol,Corporacions Locals,"c. Mina de Madró, cantonada Molí Tendre",43140,431093,La Pobla de Mafumet,Tarragonès,349803,4560825,1.209131,41.1848,https://analisi.transparenciacatalunya.cat/resource/kvmv-ahh4.csv?%24where=nom_comarca%3D%27Tarragon%C3%A8s%27&%24limit=50000&%24order=any%2Ccodi_municipi_6%2Ccodi_centre
2025,43012885,CENAFE La Pobla de Mafumet,Persones Físiques,"av. Generalitat, 20",43140,431093,La Pobla de Mafumet,Tarragonès,349780,4561096,1.208784,41.18729,https://analisi.transparenciacatalunya.cat/resource/kvmv-ahh4.csv?%24where=nom_comarca%3D%27Tarragon%C3%A8s%27&%24limit=50000&%24order=any%2Ccodi_municipi_6%2Ccodi_centre
2025,43005145,Escola Els Ametllers,Departament d'Educació i Formació Professional,"pg. de l'Estació, 2",43761,431114,La Pobla de Montornès,Tarragonès,367088,4560010,1.415319,41.18054,https://analisi.transparenciacatalunya.cat/resource/kvmv-ahh4.csv?%24where=nom_comarca%3D%27Tarragon%C3%A8s%27&%24limit=50000&%24order=any%2Ccodi_municipi_6%2Ccodi_centre
2025,43010271,Llar d'infants Sol Solet,Corporacions Locals,"av. de Catalunya, 1-3",43761,431114,La Pobla de Montornès,Tarragonès,367098,4559734,1.415497,41.17806,https://analisi.transparenciacatalunya.cat/resource/kvmv-ahh4.csv?%24where=nom_comarca%3D%27Tarragon%C3%A8s%27&%24limit=50000&%24order=any%2Ccodi_municipi_6%2Ccodi_centre
2025,43005157,Escola Montoliu,Departament d'Educació i Formació Professional,"c. Sant Jordi, s/n",43762,431264,La Riera de Gaià,Tarragonès,362146.3,4558801.7,1.356696,41.16884,https://analisi.transparenciacatalunya.cat/resource/kvmv-ahh4.csv?%24where=nom_comarca%3D%27Tarragon%C3%A8s%27&%24limit=50000&%24order=any%2Ccodi_municipi_6%2Ccodi_centre
2025,43010049,Llar d'infants Les Monges,Corporacions Locals,"c. Doctor Pittaluga, 2",43762,431264,La Riera de Gaià,Tarragonès,362554,4558281,1.361676,41.16422,https://analisi.transparenciacatalunya.cat/resource/kvmv-ahh4.csv?%24where=nom_comarca%3D%27Tarragon%C3%A8s%27&%24limit=50000&%24order=any%2Ccodi_municipi_6%2Ccodi_centre
2025,43002776,Escola Salvador Espriu,Departament d'Educació i Formació Professional,"c. de la Font, 3",43883,431310,Roda de Berà,Tarragonès,370155,4560333,1.4518,41.1839,https://analisi.transparenciacatalunya.cat/resource/kvmv-ahh4.csv?%24where=nom_comarca%3D%27Tarragon%C3%A8s%27&%24limit=50000&%24order=any%2Ccodi_municipi_6%2Ccodi_centre
2025,43009928,Llar d'infants Els Petitons,Corporacions Locals,"c. de la Reina Sofía, 17",43883,431310,Roda de Berà,Tarragonès,370699,4560339,1.458288,41.18408,https://analisi.transparenciacatalunya.cat/resource/kvmv-ahh4.csv?%24where=nom_comarca%3D%27Tarragon%C3%A8s%27&%24limit=50000&%24order=any%2Ccodi_municipi_6%2Ccodi_centre
2025,43011194,Escola El Cucurull,Departament d'Educació i Formació Professional,"c. Joan Carles I, 17",43883,431310,Roda de Berà,Tarragonès,370764,4560562,1.459019,41.18611,https://analisi.transparenciacatalunya.cat/resource/kvmv-ahh4.csv?%24where=nom_comarca%3D%27Tarragon%C3%A8s%27&%24limit=50000&%24order=any%2Ccodi_municipi_6%2Ccodi_centre
2025,43011418,Institut Roda de Berà,Departament d'Educació i Formació Professional,"c. de la Font, 3",43883,431310,Roda de Berà,Tarragonès,370169,4560293,1.451985,41.18359,https://analisi.transparenciacatalunya.cat/resource/kvmv-ahh4.csv?%24where=nom_comarca%3D%27Tarragon%C3%A8s%27&%24limit=50000&%24order=any%2Ccodi_municipi_6%2Ccodi_centre
2025,43005662,Escola Josep Nin,Departament d'Educació i Formació Professional,"c. Raval de cal Toni, 9",43885,431359,Salomó,Tarragonès,363531,4565313,1.371742,41.2277,https://analisi.transparenciacatalunya.cat/resource/kvmv-ahh4.csv?%24where=nom_comarca%3D%27Tarragon%C3%A8s%27&%24limit=50000&%24order=any%2Ccodi_municipi_6%2Ccodi_centre
