Habitatges. Per tipus d'habitatge
Municipis. 2021
Font: Idescat, a partir del Cens de població i habitatges de l'INE.
Institut d'Estadística de Catalunya
https://www.idescat.cat/pub/?id=censph&n=30&geo=mun&lang=ca
Codi;Nom;Habitatges familiars convencionals principals;Habitatges familiars convencionals no principals;Habitatges familiars convencionals;Habitatges familiars no convencionals (allotjaments);Total habitatges familiars;Establiments col·lectius
250791;Cubells;145;197;342;0;342;1
430516;Cunit;5797;7230;13027;0;13027;3
170600;Darnius;227;218;445;0;445;0
170617;Das;88;339;427;0;427;0
439018;Deltebre;4326;2927;7253;0;7253;2
080752;Dosrius;2008;714;2722;0;2722;5
430537;Duesaigües;103;105;208;0;208;0
170622;Escala, l';4369;10777;15146;0;15146;1
080765;Esparreguera;8469;1355;9824;0;9824;2
170638;Espinelves;102;95;197;0;197;0
250812;Espluga Calba, l';144;202;346;0;346;0
430542;Espluga de Francolí, l';1433;931;2364;0;2364;2
080771;Esplugues de Llobregat;17780;1640;19420;0;19420;16
170643;Espolla;170;126;296;0;296;0
170656;Esponellà;153;74;227;0;227;1
250827;Espot;145;271;416;0;416;0
080787;Espunyola, l';89;39;128;0;128;0
082541;Esquirol, l';857;363;1220;0;1220;1
250886;Estamariu;45;42;87;0;87;0
080790;Estany, l';174;163;337;0;337;1
250851;Estaràs;70;55;125;0;125;0
250864;Esterri d'Àneu;376;929;1305;0;1305;1
250870;Esterri de Cardós;24;37;61;0;61;0
430555;Falset;1058;654;1712;0;1712;1
170059;Far d'Empordà, el;190;34;224;0;224;1
250899;Farrera;58;40;98;0;98;0
430568;Fatarella, la;375;260;635;0;635;0
430574;Febró, la;21;36;57;0;57;0
081347;Figaró-Montmany;442;154;596;0;596;2
080804;Fígols;22;12;34;0;34;0
259084;Fígols i Alinyà;93;199;292;0;292;0
430580;Figuera, la;55;130;185;0;185;0
170669;Figueres;17499;3563;21062;0;21062;12
430593;Figuerola del Camp;135;124;259;0;259;0
170675;Flaçà;428;104;532;0;532;0
430607;Flix;1429;1060;2489;0;2489;2
250925;Floresta, la;61;91;152;0;152;0
080826;Fogars de la Selva;581;363;944;0;944;0
080811;Fogars de Montclús;173;91;264;0;264;0
170681;Foixà;116;130;246;0;246;0
080832;Folgueroles;803;138;941;0;941;0
250931;Fondarella;282;40;322;0;322;0
080847;Fonollosa;551;251;802;0;802;0
170694;Fontanals de Cerdanya;227;989;1216;0;1216;0
170708;Fontanilles;55;59;114;0;114;0
170715;Fontcoberta;484;81;565;0;565;1
080850;Font-rubí;521;267;788;0;788;0
250946;Foradada;82;92;174;0;174;0
179026;Forallac;632;420;1052;0;1052;0
430614;Forès;25;64;89;0;89;0
170736;Fornells de la Selva;869;113;982;0;982;0
170741;Fortià;281;103;384;0;384;1
080863;Franqueses del Vallès, les;7357;628;7985;0;7985;4
430629;Freginals;163;189;352;0;352;0
250962;Fuliola, la;429;173;602;0;602;1
250978;Fulleda;43;70;113;0;113;0
080902;Gaià;65;49;114;0;114;0
430635;Galera, la;291;200;491;0;491;0
080879;Gallifa;75;55;130;0;130;0
430640;Gandesa;1097;389;1486;0;1486;1
430653;Garcia;225;186;411;0;411;0
430666;Garidells, els;80;43;123;0;123;0
080885;Garriga, la;6242;896;7138;0;7138;9
170754;Garrigàs;175;92;267;0;267;0
170767;Garrigoles;72;68;140;0;140;0
170773;Garriguella;341;186;527;0;527;0
080898;Gavà;17619;2740;20359;0;20359;11
250984;Gavet de la Conca;114;193;307;0;307;0
080919;Gelida;2937;926;3863;0;3863;1
170789;Ger;206;552;758;0;758;0
259123;Gimenells i el Pla de la Font;405;109;514;0;514;1
430672;Ginestar;327;262;589;0;589;0
170792;Girona;38711;11622;50333;0;50333;34
080924;Gironella;1935;693;2628;0;2628;2
080930;Gisclareny;15;28;43;0;43;0
430688;Godall;258;287;545;0;545;0
250997;Golmés;668;239;907;0;907;0
170806;Gombrèn;77;109;186;0;186;1
251001;Gósol;107;226;333;0;333;0
080945;Granada, la;810;203;1013;0;1013;0
251018;Granadella, la;282;232;514;0;514;1
080958;Granera;45;69;114;0;114;0
251023;Granja d'Escarp, la;359;188;547;0;547;0
080961;Granollers;23463;2835;26298;0;26298;22
251039;Granyanella;57;72;129;0;129;1
251057;Granyena de les Garrigues;69;76;145;0;145;0
251044;Granyena de Segarra;59;68;127;0;127;0
430691;Gratallops;105;113;218;0;218;0
080977;Gualba;568;243;811;0;811;2
170813;Gualta;133;171;304;0;304;1
080996;Guardiola de Berguedà;423;297;720;0;720;0
430705;Guiamets, els;107;62;169;0;169;1
170828;Guils de Cerdanya;237;678;915;0;915;0
251095;Guimerà;116;341;457;0;457;0
259031;Guingueta d'Àneu, la;137;296;433;0;433;0
251109;Guissona;2311;581;2892;0;2892;1
251116;Guixers;52;80;132;0;132;0
081000;Gurb;786;121;907;0;907;2
430712;Horta de Sant Joan;446;538;984;0;984;0
081017;Hospitalet de Llobregat, l';101809;8679;110488;0;110488;43
