Indicadors geogràfics. Superfície, densitat i entitats de població
Municipis. 2025
Institut d'Estadística de Catalunya
https://www.idescat.cat/pub/?id=inddt&n=396&geo=mun&lang=ca
Codi;Nom;Superfície (km²);Densitat (hab./km²);Entitats singulars població (nombre)
251569;Os de Balaguer;135,96;8,0;4
171169;Osor;52,07;8,2;4
251575;Ossó de Sió;26,29;7,6;4
081542;Pacs del Penedès;6,27;149,0;1
081555;Palafolls;16,56;605,4;5
171175;Palafrugell;26,88;913,5;9
171181;Palamós;13,98;1353,4;7
251581;Palau d'Anglesola, el;12,27;181,3;1
171194;Palau de Santa Eulàlia;8,44;14,7;2
171215;Palau-sator;12,39;25,8;4
171208;Palau-saverdera;16,45;92,6;4
081568;Palau-solità i Plegamans;14,93;1043,8;12
431009;Pallaresos, els;5,13;983,0;4
081574;Pallejà;8,30;1442,9;3
430995;Palma d'Ebre, la;37,92;8,7;1
089058;Palma de Cervelló, la;5,46;560,3;4
171236;Palol de Revardit;17,98;25,8;3
171241;Pals;25,83;98,8;10
081580;Papiol, el;8,95;492,1;1
171254;Pardines;31,05;5,4;6
081593;Parets del Vallès;9,12;2072,3;11
171267;Parlavà;6,18;70,4;2
431016;Passanant i Belltall;27,35;5,4;6
171289;Pau;10,70;52,1;3
431021;Paüls;43,83;12,6;1
171292;Pedret i Marzà;8,65;24,0;2
251641;Penelles;25,51;16,9;6
171306;Pera, la;11,54;38,9;4
081607;Perafita;19,59;22,1;1
431037;Perafort;9,54;141,8;2
171328;Peralada;43,61;47,9;3
251654;Peramola;56,17;6,0;5
431042;Perelló, el;100,67;29,9;1
081614;Piera;57,20;312,7;21
431055;Piles, les;22,39;10,2;4
081635;Pineda de Mar;10,74;2799,9;4
431068;Pinell de Brai, el;56,99;16,6;1
251667;Pinell de Solsonès;91,11;2,2;5
251673;Pinós;104,32;2,6;5
431074;Pira;8,01;63,9;1
431080;Pla de Santa Maria, el;34,99;68,9;1
081640;Pla del Penedès, el;9,56;145,6;7
171334;Planes d'Hostoles, les;37,50;46,6;8
171349;Planoles;18,75;16,7;8
259118;Plans de Sió, els;55,89;9,2;11
251689;Poal, el;8,88;73,0;1
251692;Pobla de Cérvoles, la;61,92;3,4;1
081653;Pobla de Claramunt, la;18,54;126,8;7
081666;Pobla de Lillet, la;51,45;21,5;1
431093;Pobla de Mafumet, la;6,21;674,2;1
431107;Pobla de Massaluca, la;43,40;7,9;1
