year,municipality_code,municipality,age_code,age_label,age_years,sex,population,source_url
2021,431711,Vila-seca,Y063,63 anys,63,F,140.0,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y064,64 anys,64,M,108,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y064,64 anys,64,F,122,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y065,65 anys,65,M,125,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y065,65 anys,65,F,130.0,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y066,66 anys,66,M,105,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y066,66 anys,66,F,100.0,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y067,67 anys,67,M,115,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y067,67 anys,67,F,118,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y068,68 anys,68,M,121,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y068,68 anys,68,F,98,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
